almond	EED9C4
antique_brass	C88A65
apricot	FDD5B1
aquamarine	95E0E8
asparagus	7BA05B
atomic_tangerine	FF9966
banana_mania	FBE7B2
beaver	926F5B
bittersweet	FE6F5E
black	000000
blue	0066FF
blue_green	0095B7
blue_violet	6456B7
bluebell	9999CC
bluetiful	3C69E7
blush	DB5079
brick_red	C62D42
brown	AF593E
burnt_orange	FF7034
burnt_sienna	E97451
cadet_blue	A9B2C3
canary	FFFF99
caribbean_green	00CC99
carnation_pink	FFA6C9
cerise	DA3287
cerulean	02A4D3
chestnut	B94E48
copper	DA8A67
cornflower	93CCEA
cotton_candy	FFB7D5
denim	1560BD
desert_sand	EDC9AF
eggplant	614051
electric_lime	CCFF00
fern	63B76C
forest_green	5FA777
fuchsia	C154C1
fuzzy_wuzzy	87421F
gold	E6BE8A
goldenrod	FCD667
granny_smith_apple	9DE093
gray	8B8680
green	01A368
green_yellow	F1E788
hot_magenta	FF00CC
inchworm	DEE327
indigo	4F69C6
jazzberry_jam	A50B5E
jungle_green	29AB87
laser_lemon	E6FF66
lavender	FBAED2
macaroni_and_cheese	FFB97B
magenta	F653A6
mahogany	CA3435
manatee	8D90A1
mango_tango	FF3B29
maroon	C32148
mauvelous	F091A9
melon	FEBAAD
midnight_blue	003366
mountain_meadow	1AB385
navy_blue	0066CC
neon_carrot	FF9933
olive_green	B5B35C
orange	FF8833
orchid	E29CD2
outer_space	2D383A
outrageous_orange	FF6037
pacific_blue	009DC4
peach	FFCBA4
periwinkle	C3CDE6
piggy_pink	FDD7E4
pine_green	01796F
pink_flamingo	FC74FD
pink_sherbet	F7A38E
plum	843179
purple_heart	652DC1
purple_mountains_majesty	D6AEDD
purple_pizzazz	FF00BB
radical_red	FF355E
raw_sienna	D27D46
razzle_dazzle_rose	EE34D2
razzmatazz	E30B5C
red	ED0A3F
red_orange	FF3F34
red_violet	BB3385
robins_egg_blue	00CCCC
royal_purple	6B3FA0
salmon	FF91A4
scarlet	FD0E35
screamin_green	66FF66
sea_green	93DFB8
sepia	9E5B40
shadow	837050
shamrock	33CC99
shocking_pink	FF6EFF
silver	C9C0BB
sky_blue	76D7EA
spring_green	ECEBBD
sunglow	FFCC33
sunset_orange	FE4C40
tan	FA9D5A
tickle_me_pink	FC80A5
timberwolf	D9D6CF
tropical_rainforest	00755E
tumbleweed	DEA681
turquoise_blue	6CDAE7
unmellow_yellow	FFEE66
violet	8359A3
violet_red	F7468A
vivid_tangerine	FF9980
vivid_violet	803790
white	EEEEEE
wild_blue_yonder	7A89B8
wild_strawberry	FF3399
wild_watermelon	FD5B78
wisteria	C9A0DC
yellow	FBE870
yellow_green	C5E17A
yellow_orange	FFAE42
